"Wk","Date","Day","Winner","Pts","Loser","Pts.1"
"4","Sep 17, 2016","Sat","(20) Louisiana State","23","Mississippi State","20"
"4","Sep 17, 2016","Sat","(10) Louisville","63","(2) Florida State","20"
"4","Sep 17, 2016","Sat","Maryland","30","Central Florida","24"
"4","Sep 17, 2016","Sat","Massachusetts","21","Florida International","13"
"4","Sep 17, 2016","Sat","Memphis","43","Kansas","7"
"4","Sep 17, 2016","Sat","(25) Miami (FL)","45","Appalachian State","10"
"4","Sep 17, 2016","Sat","(4) Michigan","45","Colorado","28"
"4","Sep 17, 2016","Sat","(12) Michigan State","36","(18) Notre Dame","28"
"4","Sep 17, 2016","Sat","Middle Tennessee State","41","Bowling Green State","21"
"4","Sep 17, 2016","Sat","Navy","21","Tulane","14"
"4","Sep 17, 2016","Sat","Nebraska","35","(22) Oregon","32"
