"Wk","Date","Day","Winner","Pts","Loser","Pts.1"
"11","Nov 5, 2016","Sat","(1) Alabama","10","(15) Louisiana State","0"
"11","Nov 5, 2016","Sat","Appalachian State","35","Texas State","10"
"11","Nov 5, 2016","Sat","Arkansas","31","(10) Florida","10"
"11","Nov 5, 2016","Sat","(11) Auburn","23","Vanderbilt","16"
"11","Nov 5, 2016","Sat","Brigham Young","20","Cincinnati","3"
"11","Nov 5, 2016","Sat","Central Florida","37","Tulane","6"
"11","Nov 5, 2016","Sat","Charlotte","38","Southern Mississippi","27"
"11","Nov 5, 2016","Sat","(3) Clemson","54","Syracuse","0"
"11","Nov 5, 2016","Sat","Colorado State","37","Fresno State","0"
"11","Nov 5, 2016","Sat","Florida Atlantic","42","Rice","25"
"11","Nov 5, 2016","Sat","(19) Florida State","24","North Carolina State","20"
"11","Nov 5, 2016","Sat","Georgia","27","Kentucky","24"
"11","Nov 5, 2016","Sat","Idaho","23","Louisiana","13"
"11","Nov 5, 2016","Sat","Illinois","31","Michigan State","27"
"11","Nov 5, 2016","Sat","Indiana","33","Rutgers","27"
"11","Nov 5, 2016","Sat","Louisiana Tech","45","North Texas","24"
"11","Nov 5, 2016","Sat","Louisiana-Monroe","42","South Alabama","35"
"11","Nov 5, 2016","Sat","(5) Louisville","52","Boston College","7"
"11","Nov 5, 2016","Sat","Memphis","51","Southern Methodist","7"
"11","Nov 5, 2016","Sat","Miami (FL)","51","Pittsburgh","28"
"11","Nov 5, 2016","Sat","(2) Michigan","59","Maryland","3"
"11","Nov 5, 2016","Sat","Minnesota","44","Purdue","31"
"11","Nov 5, 2016","Sat","Mississippi","37","Georgia Southern","27"
"11","Nov 5, 2016","Sat","Mississippi State","35","(7) Texas A&M","28"
"11","Nov 5, 2016","Sat","Navy","28","Notre Dame","27"
"11","Nov 5, 2016","Sat","New Mexico","35","Nevada","26"
"11","Nov 5, 2016","Sat","(18) North Carolina","48","Georgia Tech","20"
"11","Nov 5, 2016","Sat","(6) Ohio State","62","(9) Nebraska","3"
"11","Nov 5, 2016","Sat","(22) Oklahoma State","43","Kansas State","37"
"11","Nov 5, 2016","Sat","Old Dominion","38","Marshall","14"
"11","Nov 5, 2016","Sat","(20) Penn State","41","Iowa","14"
"11","Nov 5, 2016","Sat","San Diego State","55","Hawaii","0"
"11","Nov 5, 2016","Sat","South Carolina","31","Missouri","21"
"11","Nov 5, 2016","Sat","Southern California","45","Oregon","20"
"11","Nov 5, 2016","Sat","Stanford","26","Oregon State","15"
"11","Nov 5, 2016","Sat","Tennessee","55","Tennessee Tech","0"
"11","Nov 5, 2016","Sat","Texas","45","Texas Tech","37"
"11","Nov 5, 2016","Sat","Texas Christian","62","(13) Baylor","22"
"11","Nov 5, 2016","Sat","Texas-El Paso","42","Houston Baptist","10"
"11","Nov 5, 2016","Sat","Texas-San Antonio","45","Middle Tennessee State","25"
"11","Nov 5, 2016","Sat","Troy","52","Massachusetts","31"
"11","Nov 5, 2016","Sat","Tulsa","45","East Carolina","24"
"11","Nov 5, 2016","Sat","(23) Virginia Tech","24","Duke","21"
"11","Nov 5, 2016","Sat","Wake Forest","27","Virginia","20"
"11","Nov 5, 2016","Sat","(4) Washington","66","California","27"
"11","Nov 5, 2016","Sat","(25) Washington State","69","Arizona","7"
"11","Nov 5, 2016","Sat","(14) West Virginia","48","Kansas","21"
"11","Nov 5, 2016","Sat","Western Kentucky","49","Florida International","21"
"11","Nov 5, 2016","Sat","(8) Wisconsin","21","Northwestern","7"
