"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-08-18,"san diego state","washington","1",2012-09-01,"Sat","21","12",NA,NA,NA,NA,NA,NA
2012-08-18,"san jose state","stanford","1",2012-08-31,"Fri","20","17",NA,21,NA,NA,NA,1
2012-08-18,"savannah state","oklahoma state","1",2012-09-01,"Sat","84","0",NA,19,NA,NA,NA,1
2012-08-18,"south alabama","texas-san antonio","1",2012-09-01,"Sat","33","31",NA,NA,NA,NA,NA,NA
2012-08-18,"south dakota state","kansas","1",2012-09-01,"Sat","31","17",NA,NA,NA,NA,NA,NA
2012-08-18,"southeast missouri state","central michigan","1",2012-08-30,"Thu","38","27",NA,NA,NA,NA,NA,NA
2012-08-18,"southeastern louisiana","missouri","1",2012-09-01,"Sat","62","10",NA,NA,NA,NA,NA,NA
2012-08-18,"southern","new mexico","1",2012-09-01,"Sat","66","21",NA,NA,NA,NA,NA,NA
2012-08-18,"southern methodist","baylor","1",2012-09-02,"Sun","59","24",NA,NA,NA,NA,NA,NA
2012-08-18,"southern mississippi","nebraska","1",2012-09-01,"Sat","49","20",NA,17,NA,NA,NA,1
2012-08-18,"southern utah","utah state","1",2012-08-30,"Thu","34","3",NA,NA,NA,NA,NA,NA
2012-08-18,"syracuse","northwestern","1",2012-09-01,"Sat","42","41",NA,NA,NA,NA,NA,NA
2012-08-18,"texas-el paso","oklahoma","1",2012-09-01,"Sat","24","7",NA,4,NA,NA,NA,1
2012-08-18,"toledo","arizona","1",2012-09-01,"Sat","24","17",NA,NA,NA,NA,NA,NA
2012-08-18,"towson","kent state","1",2012-08-30,"Thu","41","21",NA,NA,NA,NA,NA,NA
2012-08-18,"tulane","rutgers","1",2012-09-01,"Sat","24","12",NA,NA,NA,NA,NA,NA
2012-08-18,"tulsa","iowa state","1",2012-09-01,"Sat","38","23",NA,NA,NA,NA,NA,NA
2012-08-18,"vanderbilt","south carolina","1",2012-08-30,"Thu","17","13",NA,9,NA,NA,NA,1
2012-08-18,"villanova","temple","1",2012-08-31,"Fri","41","10",NA,NA,NA,NA,NA,NA
2012-08-18,"wagner","florida atlantic","1",2012-08-31,"Fri","7","3",NA,NA,NA,NA,NA,NA
2012-08-18,"washington state","brigham young","1",2012-08-30,"Thu","30","6",NA,NA,NA,NA,NA,NA
2012-08-18,"weber state","fresno state","1",2012-09-01,"Sat","37","10",NA,NA,NA,NA,NA,NA
2012-08-18,"western michigan","illinois","1",2012-09-01,"Sat","24","7",NA,NA,NA,NA,NA,NA
2012-08-18,"william & mary","maryland","1",2012-09-01,"Sat","7","6",NA,NA,NA,NA,NA,NA
2012-08-18,"wyoming","texas","1",2012-09-01,"Sat","37","17",NA,15,NA,NA,NA,1
2012-09-04,"air force","michigan","2",2012-09-08,"Sat","31","25",19,19,NA,NA,1,1
2012-09-04,"akron","florida international","2",2012-09-08,"Sat","41","38",NA,NA,NA,NA,NA,NA
2012-09-04,"arkansas","louisiana-monroe","2",2012-09-08,"Sat","34","31",NA,NA,10,8,0,0
2012-09-04,"army","san diego state","2",2012-09-08,"Sat","42","7",NA,NA,NA,NA,NA,NA
2012-09-04,"auburn","mississippi state","2",2012-09-08,"Sat","28","10",NA,NA,NA,NA,NA,NA
2012-09-04,"austin peay","virginia tech","2",2012-09-08,"Sat","42","7",18,15,NA,NA,1,1
2012-09-04,"ball state","clemson","2",2012-09-08,"Sat","52","27",12,12,NA,NA,1,1
2012-09-04,"california-davis","san jose state","2",2012-09-08,"Sat","45","13",NA,NA,NA,NA,NA,NA
2012-09-04,"central florida","ohio state","2",2012-09-08,"Sat","31","16",NA,14,NA,NA,NA,1
2012-09-04,"central michigan","michigan state","2",2012-09-08,"Sat","41","7",11,11,NA,NA,1,1
2012-09-04,"colorado","sacramento state","2",2012-09-08,"Sat","30","28",NA,NA,NA,NA,NA,NA
2012-09-04,"colorado state","north dakota state","2",2012-09-08,"Sat","22","7",NA,NA,NA,NA,NA,NA
2012-09-04,"connecticut","north carolina state","2",2012-09-08,"Sat","10","7",NA,NA,NA,NA,NA,NA
2012-09-04,"duke","stanford","2",2012-09-08,"Sat","50","13",21,25,NA,NA,1,1
2012-09-04,"east carolina","south carolina","2",2012-09-08,"Sat","48","10",9,9,NA,NA,1,1
2012-09-04,"eastern illinois","western michigan","2",2012-09-08,"Sat","52","21",NA,NA,NA,NA,NA,NA
2012-09-04,"eastern michigan","illinois state","2",2012-09-08,"Sat","31","14",NA,NA,NA,NA,NA,NA
2012-09-04,"eastern washington","washington state","2",2012-09-08,"Sat","24","20",NA,NA,NA,NA,NA,NA
2012-09-04,"florida a&m","oklahoma","2",2012-09-08,"Sat","69","13",5,5,NA,NA,1,1
2012-09-04,"florida atlantic","middle tennessee state","2",2012-09-08,"Sat","31","17",NA,NA,NA,NA,NA,NA
2012-09-04,"fresno state","oregon","2",2012-09-08,"Sat","42","25",4,4,NA,NA,1,1
2012-09-04,"georgia state","tennessee","2",2012-09-08,"Sat","51","13",NA,NA,NA,NA,NA,NA
2012-09-04,"grambling state","texas christian","2",2012-09-08,"Sat","56","0",17,20,NA,NA,1,1
2012-09-04,"houston","louisiana tech","2",2012-09-08,"Sat","56","49",NA,NA,NA,NA,NA,NA
2012-09-04,"howard","rutgers","2",2012-09-08,"Sat","26","0",NA,NA,NA,NA,NA,NA
