"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2013-09-02,"richmond","north carolina state","2",2013-09-07,"Sat","23","21",NA,NA,NA,NA,NA,NA
2013-09-02,"sacramento state","arizona state","2",2013-09-05,"Thu","55","0",NA,NA,NA,NA,NA,NA
2013-09-02,"sam houston state","texas a&m","2",2013-09-07,"Sat","65","28",7,7,NA,NA,1,1
2013-09-02,"samford","arkansas","2",2013-09-07,"Sat","31","21",NA,NA,NA,NA,NA,NA
2013-09-02,"san diego state","ohio state","2",2013-09-07,"Sat","42","7",2,3,NA,NA,1,1
2013-09-02,"san jose state","stanford","2",2013-09-07,"Sat","34","13",4,5,NA,NA,1,1
2013-09-02,"savannah state","troy","2",2013-09-07,"Sat","66","3",NA,NA,NA,NA,NA,NA
2013-09-02,"south carolina","georgia","2",2013-09-07,"Sat","41","30",12,11,6,6,0,0
2013-09-02,"south carolina state","clemson","2",2013-09-07,"Sat","52","13",5,4,NA,NA,1,1
2013-09-02,"south dakota","kansas","2",2013-09-07,"Sat","31","14",NA,NA,NA,NA,NA,NA
2013-09-02,"south florida","michigan state","2",2013-09-07,"Sat","21","6",NA,NA,NA,NA,NA,NA
2013-09-02,"southeast missouri state","mississippi","2",2013-09-07,"Sat","31","13",NA,NA,NA,NA,NA,NA
2013-09-02,"southeastern louisiana","texas christian","2",2013-09-07,"Sat","38","17",24,24,NA,NA,1,1
2013-09-02,"southern california","washington state","2",2013-09-07,"Sat","10","7",NA,NA,22,25,0,0
2013-09-02,"southern mississippi","nebraska","2",2013-09-07,"Sat","56","13",19,22,NA,NA,1,1
2013-09-02,"stephen f. austin","texas tech","2",2013-09-07,"Sat","61","13",NA,NA,NA,NA,NA,NA
2013-09-02,"syracuse","northwestern","2",2013-09-07,"Sat","48","27",20,19,NA,NA,1,1
2013-09-02,"temple","houston","2",2013-09-07,"Sat","22","13",NA,NA,NA,NA,NA,NA
2013-09-02,"tennessee tech","wisconsin","2",2013-09-07,"Sat","48","0",21,21,NA,NA,1,1
2013-09-02,"tennessee-martin","boise state","2",2013-09-07,"Sat","63","14",NA,NA,NA,NA,NA,NA
2013-09-02,"texas","brigham young","2",2013-09-07,"Sat","40","21",NA,NA,16,15,0,0
2013-09-02,"texas-el paso","new mexico","2",2013-09-07,"Sat","42","35",NA,NA,NA,NA,NA,NA
2013-09-02,"texas-san antonio","oklahoma state","2",2013-09-07,"Sat","56","35",14,13,NA,NA,1,1
2013-09-02,"toledo","missouri","2",2013-09-07,"Sat","38","23",NA,NA,NA,NA,NA,NA
2013-09-02,"tulane","south alabama","2",2013-09-07,"Sat","41","39",NA,NA,NA,NA,NA,NA
2013-09-02,"virginia","oregon","2",2013-09-07,"Sat","59","10",3,2,NA,NA,1,1
2013-09-02,"wake forest","boston college","2",2013-09-06,"Fri","24","10",NA,NA,NA,NA,NA,NA
2013-09-02,"weber state","utah","2",2013-09-07,"Sat","70","7",NA,NA,NA,NA,NA,NA
2013-09-02,"west virginia","oklahoma","2",2013-09-07,"Sat","16","7",15,16,NA,NA,1,1
2013-09-02,"western carolina","virginia tech","2",2013-09-07,"Sat","45","3",NA,NA,NA,NA,NA,NA
2013-09-02,"western kentucky","tennessee","2",2013-09-07,"Sat","52","20",NA,NA,NA,NA,NA,NA
2013-09-02,"western michigan","nicholls state","2",2013-09-07,"Sat","27","23",NA,NA,NA,NA,NA,NA
2013-09-09,"air force","boise state","3",2013-09-13,"Fri","42","20",NA,NA,NA,NA,NA,NA
2013-09-09,"akron","michigan","3",2013-09-14,"Sat","28","24",12,11,NA,NA,1,1
2013-09-09,"army","stanford","3",2013-09-14,"Sat","34","20",4,5,NA,NA,1,1
2013-09-09,"ball state","north texas","3",2013-09-14,"Sat","34","27",NA,NA,NA,NA,NA,NA
2013-09-09,"boston college","southern california","3",2013-09-14,"Sat","35","7",NA,NA,NA,NA,NA,NA
2013-09-09,"bowling green state","indiana","3",2013-09-14,"Sat","42","10",NA,NA,NA,NA,NA,NA
2013-09-09,"cal poly","colorado state","3",2013-09-14,"Sat","34","17",NA,NA,NA,NA,NA,NA
2013-09-09,"california","ohio state","3",2013-09-14,"Sat","52","34",3,4,NA,NA,1,1
2013-09-09,"central michigan","nevada-las vegas","3",2013-09-14,"Sat","31","21",NA,NA,NA,NA,NA,NA
2013-09-09,"colorado","fresno state","3",2013-09-14,"Sat","","",NA,NA,NA,NA,NA,NA
2013-09-09,"connecticut","maryland","3",2013-09-14,"Sat","32","21",NA,NA,NA,NA,NA,NA
2013-09-09,"delaware","navy","3",2013-09-14,"Sat","51","7",NA,NA,NA,NA,NA,NA
2013-09-09,"duke","georgia tech","3",2013-09-14,"Sat","38","14",NA,NA,NA,NA,NA,NA
2013-09-09,"east carolina","virginia tech","3",2013-09-14,"Sat","15","10",NA,NA,NA,NA,NA,NA
2013-09-09,"eastern michigan","rutgers","3",2013-09-14,"Sat","28","10",NA,NA,NA,NA,NA,NA
2013-09-09,"eastern washington","toledo","3",2013-09-14,"Sat","33","21",NA,NA,NA,NA,NA,NA
2013-09-09,"florida international","bethune-cookman","3",2013-09-14,"Sat","34","13",NA,NA,NA,NA,NA,NA
2013-09-09,"georgia state","west virginia","3",2013-09-14,"Sat","41","7",NA,NA,NA,NA,NA,NA
2013-09-09,"idaho","northern illinois","3",2013-09-14,"Sat","45","35",NA,NA,NA,NA,NA,NA
2013-09-09,"illinois","washington","3",2013-09-14,"Sat","34","24",23,19,NA,NA,1,1
2013-09-09,"iowa state","iowa","3",2013-09-14,"Sat","27","21",NA,NA,NA,NA,NA,NA
2013-09-09,"kansas","rice","3",2013-09-14,"Sat","23","14",NA,NA,NA,NA,NA,NA
2013-09-09,"kent state","louisiana state","3",2013-09-14,"Sat","45","13",8,8,NA,NA,1,1
2013-09-09,"kentucky","louisville","3",2013-09-14,"Sat","27","13",7,7,NA,NA,1,1
2013-09-09,"lamar","oklahoma state","3",2013-09-14,"Sat","59","3",11,12,NA,NA,1,1
2013-09-09,"louisiana tech","tulane","3",2013-09-12,"Thu","24","15",NA,NA,NA,NA,NA,NA
2013-09-09,"marshall","ohio","3",2013-09-14,"Sat","34","31",NA,NA,NA,NA,NA,NA
2013-09-09,"massachusetts","kansas state","3",2013-09-14,"Sat","37","7",NA,NA,NA,NA,NA,NA
2013-09-09,"memphis","middle tennessee state","3",2013-09-14,"Sat","17","15",NA,NA,NA,NA,NA,NA
2013-09-09,"mississippi state","auburn","3",2013-09-14,"Sat","24","20",NA,NA,NA,NA,NA,NA
2013-09-09,"nebraska","ucla","3",2013-09-14,"Sat","41","21",17,16,15,23,0,1
2013-09-09,"nevada","florida state","3",2013-09-14,"Sat","62","7",9,10,NA,NA,1,1
2013-09-09,"new mexico","pittsburgh","3",2013-09-14,"Sat","49","27",NA,NA,NA,NA,NA,NA
2013-09-09,"new mexico state","texas-el paso","3",2013-09-14,"Sat","42","21",NA,NA,NA,NA,NA,NA
2013-09-09,"nicholls state","louisiana","3",2013-09-14,"Sat","70","7",NA,NA,NA,NA,NA,NA
2013-09-09,"northern colorado","wyoming","3",2013-09-14,"Sat","35","7",NA,NA,NA,NA,NA,NA
2013-09-09,"northwestern state","cincinnati","3",2013-09-14,"Sat","66","9",NA,NA,NA,NA,NA,NA
2013-09-09,"penn state","central florida","3",2013-09-14,"Sat","34","31",NA,NA,NA,NA,NA,NA
2013-09-09,"purdue","notre dame","3",2013-09-14,"Sat","31","24",21,21,NA,NA,1,1
2013-09-09,"south florida","florida atlantic","3",2013-09-14,"Sat","28","10",NA,NA,NA,NA,NA,NA
2013-09-09,"southern mississippi","arkansas","3",2013-09-14,"Sat","24","3",NA,NA,NA,NA,NA,NA
2013-09-09,"southern utah","washington state","3",2013-09-14,"Sat","48","10",NA,NA,NA,NA,NA,NA
2013-09-09,"stony brook","buffalo","3",2013-09-14,"Sat","26","23",NA,NA,NA,NA,NA,NA
2013-09-09,"temple","fordham","3",2013-09-14,"Sat","30","29",NA,NA,NA,NA,NA,NA
2013-09-09,"tennessee","oregon","3",2013-09-14,"Sat","59","14",2,2,NA,NA,1,1
2013-09-09,"texas","mississippi","3",2013-09-14,"Sat","44","23",25,25,NA,NA,1,1
2013-09-09,"texas a&m","alabama","3",2013-09-14,"Sat","49","42",1,1,6,6,1,1
2013-09-09,"texas christian","texas tech","3",2013-09-12,"Thu","20","10",NA,NA,24,24,0,0
2013-09-09,"texas-san antonio","arizona","3",2013-09-14,"Sat","38","13",NA,NA,NA,NA,NA,NA
2013-09-09,"troy","arkansas state","3",2013-09-12,"Thu","41","34",NA,NA,NA,NA,NA,NA
2013-09-09,"tulsa","oklahoma","3",2013-09-14,"Sat","51","20",13,14,NA,NA,1,1
2013-09-09,"utah","oregon state","3",2013-09-14,"Sat","51","48",NA,NA,NA,NA,NA,NA
2013-09-09,"vanderbilt","south carolina","3",2013-09-14,"Sat","35","25",14,13,NA,NA,1,1
2013-09-09,"wagner","syracuse","3",2013-09-14,"Sat","54","0",NA,NA,NA,NA,NA,NA
2013-09-09,"wake forest","louisiana-monroe","3",2013-09-14,"Sat","21","19",NA,NA,NA,NA,NA,NA
2013-09-09,"weber state","utah state","3",2013-09-14,"Sat","70","6",NA,NA,NA,NA,NA,NA
2013-09-09,"western illinois","minnesota","3",2013-09-14,"Sat","29","12",NA,NA,NA,NA,NA,NA
2013-09-09,"western kentucky","south alabama","3",2013-09-14,"Sat","31","24",NA,NA,NA,NA,NA,NA
2013-09-09,"western michigan","northwestern","3",2013-09-14,"Sat","38","17",16,17,NA,NA,1,1
2013-09-09,"wisconsin","arizona state","3",2013-09-14,"Sat","32","30",NA,NA,18,20,0,0
2013-09-09,"youngstown state","michigan state","3",2013-09-14,"Sat","55","17",NA,NA,NA,NA,NA,NA
2013-09-16,"air force","wyoming","4",2013-09-21,"Sat","56","23",NA,NA,NA,NA,NA,NA
2013-09-16,"akron","louisiana","4",2013-09-21,"Sat","35","30",NA,NA,NA,NA,NA,NA
2013-09-16,"arizona state","stanford","4",2013-09-21,"Sat","42","28",5,5,23,23,1,1
2013-09-16,"arkansas","rutgers","4",2013-09-21,"Sat","28","24",NA,NA,NA,NA,NA,NA
2013-09-16,"arkansas state","memphis","4",2013-09-21,"Sat","31","7",NA,NA,NA,NA,NA,NA
2013-09-16,"army","wake forest","4",2013-09-21,"Sat","25","11",NA,NA,NA,NA,NA,NA
2013-09-16,"auburn","louisiana state","4",2013-09-21,"Sat","35","21",7,6,NA,NA,1,1
2013-09-16,"austin peay","ohio","4",2013-09-21,"Sat","38","0",NA,NA,NA,NA,NA,NA
2013-09-16,"bethune-cookman","florida state","4",2013-09-21,"Sat","54","6",8,8,NA,NA,1,1
2013-09-16,"boise state","fresno state","4",2013-09-20,"Fri","41","40",25,NA,NA,NA,1,NA
2013-09-16,"brigham young","utah","4",2013-09-21,"Sat","20","13",NA,NA,NA,NA,NA,NA
2013-09-16,"central michigan","toledo","4",2013-09-21,"Sat","38","17",NA,NA,NA,NA,NA,NA
2013-09-16,"colorado state","alabama","4",2013-09-21,"Sat","31","6",1,1,NA,NA,1,1
2013-09-16,"connecticut","michigan","4",2013-09-21,"Sat","24","21",14,15,NA,NA,1,1
2013-09-16,"duke","pittsburgh","4",2013-09-21,"Sat","58","55",NA,NA,NA,NA,NA,NA
2013-09-16,"eastern illinois","northern illinois","4",2013-09-21,"Sat","43","39",NA,NA,NA,NA,NA,NA
2013-09-16,"eastern michigan","ball state","4",2013-09-21,"Sat","51","20",NA,NA,NA,NA,NA,NA
2013-09-16,"florida a&m","ohio state","4",2013-09-21,"Sat","76","0",3,4,NA,NA,1,1
2013-09-16,"florida atlantic","middle tennessee state","4",2013-09-21,"Sat","42","35",NA,NA,NA,NA,NA,NA
2013-09-16,"florida international","louisville","4",2013-09-21,"Sat","72","0",6,7,NA,NA,1,1
2013-09-16,"georgia state","jacksonville state","4",2013-09-21,"Sat","32","26",NA,NA,NA,NA,NA,NA
2013-09-16,"hawaii","nevada","4",2013-09-21,"Sat","31","9",NA,NA,NA,NA,NA,NA
2013-09-16,"idaho","washington state","4",2013-09-21,"Sat","42","0",NA,NA,NA,NA,NA,NA
2013-09-16,"idaho state","washington","4",2013-09-21,"Sat","56","0",20,17,NA,NA,1,1
2013-09-16,"indiana","missouri","4",2013-09-21,"Sat","45","28",NA,NA,NA,NA,NA,NA
2013-09-16,"kansas state","texas","4",2013-09-21,"Sat","31","21",NA,NA,NA,NA,NA,NA
2013-09-16,"kent state","penn state","4",2013-09-21,"Sat","34","0",NA,NA,NA,NA,NA,NA
2013-09-16,"louisiana tech","kansas","4",2013-09-21,"Sat","13","10",NA,NA,NA,NA,NA,NA
2013-09-16,"louisiana-monroe","baylor","4",2013-09-21,"Sat","70","7",19,20,NA,NA,1,1
2013-09-16,"maine","northwestern","4",2013-09-21,"Sat","35","21",16,18,NA,NA,1,1
2013-09-16,"marshall","virginia tech","4",2013-09-21,"Sat","29","21",NA,NA,NA,NA,NA,NA
2013-09-16,"massachusetts","vanderbilt","4",2013-09-21,"Sat","24","7",NA,NA,NA,NA,NA,NA
2013-09-16,"miami (oh)","cincinnati","4",2013-09-21,"Sat","14","0",NA,NA,NA,NA,NA,NA
2013-09-16,"michigan state","notre dame","4",2013-09-21,"Sat","17","13",21,22,24,NA,1,1
2013-09-16,"morgan state","western kentucky","4",2013-09-21,"Sat","58","17",NA,NA,NA,NA,NA,NA
2013-09-16,"murray state","bowling green state","4",2013-09-21,"Sat","48","7",NA,NA,NA,NA,NA,NA
2013-09-16,"new mexico state","ucla","4",2013-09-21,"Sat","59","13",15,13,NA,NA,1,1
2013-09-16,"north carolina","georgia tech","4",2013-09-21,"Sat","28","20",NA,NA,NA,NA,NA,NA
2013-09-16,"north carolina state","clemson","4",2013-09-19,"Thu","26","14",4,3,NA,NA,1,1
2013-09-16,"north texas","georgia","4",2013-09-21,"Sat","45","21",10,9,NA,NA,1,1
2013-09-16,"northwestern state","alabama-birmingham","4",2013-09-21,"Sat","52","28",NA,NA,NA,NA,NA,NA
2013-09-16,"purdue","wisconsin","4",2013-09-21,"Sat","41","10",NA,24,NA,NA,NA,1
2013-09-16,"rice","houston","4",2013-09-21,"Sat","31","26",NA,NA,NA,NA,NA,NA
2013-09-16,"san diego state","oregon state","4",2013-09-21,"Sat","34","30",NA,NA,NA,NA,NA,NA
2013-09-16,"san jose state","minnesota","4",2013-09-21,"Sat","43","24",NA,NA,NA,NA,NA,NA
2013-09-16,"savannah state","miami (fl)","4",2013-09-21,"Sat","77","7",17,16,NA,NA,1,1
2013-09-16,"south dakota state","nebraska","4",2013-09-21,"Sat","59","20",NA,NA,NA,NA,NA,NA
2013-09-16,"southern methodist","texas a&m","4",2013-09-21,"Sat","42","13",9,10,NA,NA,1,1
2013-09-16,"tennessee","florida","4",2013-09-21,"Sat","31","17",18,19,NA,NA,1,1
2013-09-16,"texas state","texas tech","4",2013-09-21,"Sat","33","7",NA,25,NA,NA,NA,1
2013-09-16,"texas-el paso","texas-san antonio","4",2013-09-21,"Sat","32","13",NA,NA,NA,NA,NA,NA
2013-09-16,"troy","mississippi state","4",2013-09-21,"Sat","62","7",NA,NA,NA,NA,NA,NA
2013-09-16,"tulane","syracuse","4",2013-09-21,"Sat","52","17",NA,NA,NA,NA,NA,NA
2013-09-16,"utah state","southern california","4",2013-09-21,"Sat","17","14",NA,NA,NA,NA,NA,NA
2013-09-16,"virginia military institute","virginia","4",2013-09-21,"Sat","49","0",NA,NA,NA,NA,NA,NA
2013-09-16,"west virginia","maryland","4",2013-09-21,"Sat","37","0",NA,NA,NA,NA,NA,NA
2013-09-16,"western illinois","nevada-las vegas","4",2013-09-21,"Sat","38","7",NA,NA,NA,NA,NA,NA
2013-09-16,"western michigan","iowa","4",2013-09-21,"Sat","59","3",NA,NA,NA,NA,NA,NA
2013-09-23,"air force","nevada","5",2013-09-28,"Sat","45","42",NA,NA,NA,NA,NA,NA
2013-09-23,"akron","bowling green state","5",2013-09-28,"Sat","31","14",NA,NA,NA,NA,NA,NA
2013-09-23,"alabama-birmingham","vanderbilt","5",2013-09-28,"Sat","52","24",NA,NA,NA,NA,NA,NA
2013-09-23,"arizona","washington","5",2013-09-28,"Sat","31","13",20,16,NA,NA,1,1
2013-09-23,"arkansas","texas a&m","5",2013-09-28,"Sat","45","33",9,10,NA,NA,1,1
2013-09-23,"arkansas state","missouri","5",2013-09-28,"Sat","41","19",NA,NA,NA,NA,NA,NA
2013-09-23,"boston college","florida state","5",2013-09-28,"Sat","48","34",8,8,NA,NA,1,1
2013-09-23,"california","oregon","5",2013-09-28,"Sat","55","16",2,2,NA,NA,1,1
2013-09-23,"central florida","south carolina","5",2013-09-28,"Sat","28","25",13,12,NA,NA,1,1
2013-09-23,"central michigan","north carolina state","5",2013-09-28,"Sat","48","14",NA,NA,NA,NA,NA,NA
2013-09-23,"colorado","oregon state","5",2013-09-28,"Sat","44","17",NA,NA,NA,NA,NA,NA
2013-09-23,"connecticut","buffalo","5",2013-09-28,"Sat","41","12",NA,NA,NA,NA,NA,NA
2013-09-23,"florida atlantic","rice","5",2013-09-28,"Sat","18","14",NA,NA,NA,NA,NA,NA
2013-09-23,"georgia tech","virginia tech","5",2013-09-26,"Thu","17","10",NA,NA,NA,NA,NA,NA
2013-09-23,"hawaii","fresno state","5",2013-09-28,"Sat","42","37",23,25,NA,NA,1,1
2013-09-23,"kentucky","florida","5",2013-09-28,"Sat","24","7",19,20,NA,NA,1,1
2013-09-23,"louisiana state","georgia","5",2013-09-28,"Sat","44","41",10,9,6,6,0,0
2013-09-23,"louisiana tech","army","5",2013-09-28,"Sat","35","16",NA,NA,NA,NA,NA,NA
2013-09-23,"louisiana-monroe","tulane","5",2013-09-28,"Sat","31","14",NA,NA,NA,NA,NA,NA
2013-09-23,"miami (oh)","illinois","5",2013-09-28,"Sat","50","14",NA,NA,NA,NA,NA,NA
2013-09-23,"middle tennessee state","brigham young","5",2013-09-27,"Fri","37","10",NA,NA,NA,NA,NA,NA
2013-09-23,"minnesota","iowa","5",2013-09-28,"Sat","23","7",NA,NA,NA,NA,NA,NA
2013-09-23,"mississippi","alabama","5",2013-09-28,"Sat","25","0",1,1,21,21,1,1
2013-09-23,"navy","western kentucky","5",2013-09-28,"Sat","19","7",NA,NA,NA,NA,NA,NA
2013-09-23,"new mexico","nevada-las vegas","5",2013-09-28,"Sat","56","42",NA,NA,NA,NA,NA,NA
2013-09-23,"new mexico state","san diego state","5",2013-09-28,"Sat","26","16",NA,NA,NA,NA,NA,NA
2013-09-23,"north carolina","east carolina","5",2013-09-28,"Sat","55","31",NA,NA,NA,NA,NA,NA
2013-09-23,"notre dame","oklahoma","5",2013-09-28,"Sat","35","21",12,14,22,22,1,1
2013-09-23,"oklahoma state","west virginia","5",2013-09-28,"Sat","30","21",NA,NA,11,11,0,0
2013-09-23,"purdue","northern illinois","5",2013-09-28,"Sat","55","24",NA,NA,NA,NA,NA,NA
2013-09-23,"san jose state","utah state","5",2013-09-27,"Fri","40","12",NA,NA,NA,NA,NA,NA
2013-09-23,"south alabama","tennessee","5",2013-09-28,"Sat","31","24",NA,NA,NA,NA,NA,NA
2013-09-23,"south florida","miami (fl)","5",2013-09-28,"Sat","49","21",15,15,NA,NA,1,1
2013-09-23,"southern california","arizona state","5",2013-09-28,"Sat","62","41",NA,NA,NA,NA,NA,NA
2013-09-23,"southern methodist","texas christian","5",2013-09-28,"Sat","48","17",NA,NA,NA,NA,NA,NA
2013-09-23,"southern mississippi","boise state","5",2013-09-28,"Sat","60","7",NA,NA,NA,NA,NA,NA
2013-09-23,"temple","idaho","5",2013-09-28,"Sat","26","24",NA,NA,NA,NA,NA,NA
2013-09-23,"texas-el paso","colorado state","5",2013-09-28,"Sat","59","42",NA,NA,NA,NA,NA,NA
2013-09-23,"texas-san antonio","houston","5",2013-09-28,"Sat","59","28",NA,NA,NA,NA,NA,NA
2013-09-23,"toledo","ball state","5",2013-09-28,"Sat","31","24",NA,NA,NA,NA,NA,NA
2013-09-23,"troy","duke","5",2013-09-28,"Sat","38","31",NA,NA,NA,NA,NA,NA
2013-09-23,"tulsa","iowa state","5",2013-09-26,"Thu","38","21",NA,NA,NA,NA,NA,NA
2013-09-23,"virginia","pittsburgh","5",2013-09-28,"Sat","14","3",NA,NA,NA,NA,NA,NA
2013-09-23,"wake forest","clemson","5",2013-09-28,"Sat","56","7",4,3,NA,NA,1,1
2013-09-23,"washington state","stanford","5",2013-09-28,"Sat","55","17",5,5,NA,NA,1,1
2013-09-23,"western michigan","kent state","5",2013-09-28,"Sat","32","14",NA,NA,NA,NA,NA,NA
2013-09-23,"wisconsin","ohio state","5",2013-09-28,"Sat","31","24",3,4,24,23,1,1
2013-09-23,"wyoming","texas state","5",2013-09-28,"Sat","42","21",NA,NA,NA,NA,NA,NA
2013-09-30,"air force","navy","6",2013-10-05,"Sat","28","10",NA,NA,NA,NA,NA,NA
2013-09-30,"akron","ohio","6",2013-10-05,"Sat","43","3",NA,NA,NA,NA,NA,NA
2013-09-30,"alabama-birmingham","florida atlantic","6",2013-10-05,"Sat","37","23",NA,NA,NA,NA,NA,NA
2013-09-30,"arizona state","notre dame","6",2013-10-05,"Sat","37","34",NA,NA,24,22,0,0
2013-09-30,"arkansas","florida","6",2013-10-05,"Sat","30","10",19,18,NA,NA,1,1
2013-09-30,"army","boston college","6",2013-10-05,"Sat","48","27",NA,NA,NA,NA,NA,NA
2013-09-30,"california","washington state","6",2013-10-05,"Sat","44","22",NA,NA,NA,NA,NA,NA
2013-09-30,"cincinnati","south florida","6",2013-10-05,"Sat","26","20",NA,NA,NA,NA,NA,NA
2013-09-30,"colorado","oregon","6",2013-10-05,"Sat","57","16",2,2,NA,NA,1,1
2013-09-30,"eastern michigan","buffalo","6",2013-10-05,"Sat","42","14",NA,NA,NA,NA,NA,NA
2013-09-30,"georgia state","alabama","6",2013-10-05,"Sat","45","3",1,1,NA,NA,1,1
2013-09-30,"georgia tech","miami (fl)","6",2013-10-05,"Sat","45","30",14,14,NA,NA,1,1
2013-09-30,"hawaii","san jose state","6",2013-10-05,"Sat","37","27",NA,NA,NA,NA,NA,NA
2013-09-30,"idaho","fresno state","6",2013-10-05,"Sat","61","14",21,23,NA,NA,1,1
2013-09-30,"illinois","nebraska","6",2013-10-05,"Sat","39","19",25,NA,NA,NA,1,NA
2013-09-30,"iowa","michigan state","6",2013-10-05,"Sat","26","14",NA,NA,NA,NA,NA,NA
2013-09-30,"iowa state","texas","6",2013-10-03,"Thu","31","30",NA,NA,NA,NA,NA,NA
2013-09-30,"kansas","texas tech","6",2013-10-05,"Sat","54","16",22,20,NA,NA,1,1
2013-09-30,"kansas state","oklahoma state","6",2013-10-05,"Sat","33","29",20,21,NA,NA,1,1
2013-09-30,"kent state","northern illinois","6",2013-10-05,"Sat","38","24",23,NA,NA,NA,1,NA
2013-09-30,"kentucky","south carolina","6",2013-10-05,"Sat","35","28",12,13,NA,NA,1,1
2013-09-30,"louisiana-monroe","western kentucky","6",2013-10-03,"Thu","31","10",NA,NA,NA,NA,NA,NA
2013-09-30,"maryland","florida state","6",2013-10-05,"Sat","63","0",8,8,NA,25,1,1
2013-09-30,"massachusetts","bowling green state","6",2013-10-05,"Sat","28","7",NA,NA,NA,NA,NA,NA
2013-09-30,"memphis","central florida","6",2013-10-05,"Sat","24","17",NA,NA,NA,NA,NA,NA
2013-09-30,"miami (oh)","central michigan","6",2013-10-05,"Sat","21","9",NA,NA,NA,NA,NA,NA
2013-09-30,"middle tennessee state","east carolina","6",2013-10-05,"Sat","24","17",NA,NA,NA,NA,NA,NA
2013-09-30,"minnesota","michigan","6",2013-10-05,"Sat","42","13",17,19,NA,NA,1,1
2013-09-30,"mississippi","auburn","6",2013-10-05,"Sat","30","22",NA,NA,NA,24,NA,0
2013-09-30,"mississippi state","louisiana state","6",2013-10-05,"Sat","59","26",11,10,NA,NA,1,1
2013-09-30,"nevada","san diego state","6",2013-10-04,"Fri","51","44",NA,NA,NA,NA,NA,NA
2013-09-30,"new mexico state","new mexico","6",2013-10-05,"Sat","66","17",NA,NA,NA,NA,NA,NA
2013-09-30,"north carolina","virginia tech","6",2013-10-05,"Sat","27","17",NA,NA,NA,NA,NA,NA
2013-09-30,"north carolina state","wake forest","6",2013-10-05,"Sat","28","13",NA,NA,NA,NA,NA,NA
2013-09-30,"north texas","tulane","6",2013-10-05,"Sat","24","21",NA,NA,NA,NA,NA,NA
2013-09-30,"northwestern","ohio state","6",2013-10-05,"Sat","40","30",3,4,15,16,1,1
2013-09-30,"penn state","indiana","6",2013-10-05,"Sat","44","24",NA,NA,NA,NA,NA,NA
2013-09-30,"south alabama","troy","6",2013-10-05,"Sat","34","33",NA,NA,NA,NA,NA,NA
2013-09-30,"southern methodist","rutgers","6",2013-10-05,"Sat","55","52",NA,NA,NA,NA,NA,NA
2013-09-30,"southern mississippi","florida international","6",2013-10-05,"Sat","24","23",NA,NA,NA,NA,NA,NA
2013-09-30,"syracuse","clemson","6",2013-10-05,"Sat","49","14",4,3,NA,NA,1,1
2013-09-30,"temple","louisville","6",2013-10-05,"Sat","30","7",7,7,NA,NA,1,1
2013-09-30,"tennessee","georgia","6",2013-10-05,"Sat","34","31",6,6,NA,NA,1,1
2013-09-30,"texas christian","oklahoma","6",2013-10-05,"Sat","20","17",10,11,NA,NA,1,1
2013-09-30,"texas state","louisiana","6",2013-10-05,"Sat","48","24",NA,NA,NA,NA,NA,NA
2013-09-30,"texas-el paso","louisiana tech","6",2013-10-05,"Sat","38","35",NA,NA,NA,NA,NA,NA
2013-09-30,"texas-san antonio","marshall","6",2013-10-05,"Sat","34","10",NA,NA,NA,NA,NA,NA
2013-09-30,"tulsa","rice","6",2013-10-05,"Sat","30","27",NA,NA,NA,NA,NA,NA
2013-09-30,"utah","ucla","6",2013-10-03,"Thu","34","27",13,12,NA,NA,1,1
2013-09-30,"utah state","brigham young","6",2013-10-04,"Fri","31","14",NA,NA,NA,NA,NA,NA
2013-09-30,"vanderbilt","missouri","6",2013-10-05,"Sat","51","28",NA,NA,NA,NA,NA,NA
2013-09-30,"virginia","ball state","6",2013-10-05,"Sat","48","27",NA,NA,NA,NA,NA,NA
2013-09-30,"washington","stanford","6",2013-10-05,"Sat","31","28",5,5,18,15,1,1
2013-09-30,"west virginia","baylor","6",2013-10-05,"Sat","73","42",16,17,NA,NA,1,1
2013-09-30,"western michigan","toledo","6",2013-10-05,"Sat","47","20",NA,NA,NA,NA,NA,NA
2013-10-06,"air force","san diego state","7",2013-10-10,"Thu","27","20",NA,NA,NA,NA,NA,NA
2013-10-06,"akron","northern illinois","7",2013-10-12,"Sat","27","20",23,23,NA,NA,1,1
2013-10-06,"arizona","southern california","7",2013-10-10,"Thu","38","31",NA,NA,NA,NA,NA,NA
2013-10-06,"arkansas","south carolina","7",2013-10-12,"Sat","52","7",12,14,NA,NA,1,1
2013-10-06,"boston college","clemson","7",2013-10-12,"Sat","24","14",4,3,NA,NA,1,1
2013-10-06,"bowling green state","mississippi state","7",2013-10-12,"Sat","21","20",NA,NA,NA,NA,NA,NA
2013-10-06,"california","ucla","7",2013-10-12,"Sat","37","10",13,11,NA,NA,1,1
2013-10-06,"colorado","arizona state","7",2013-10-12,"Sat","54","13",NA,NA,NA,NA,NA,NA
2013-10-06,"colorado state","san jose state","7",2013-10-12,"Sat","34","27",NA,NA,NA,NA,NA,NA
2013-10-06,"connecticut","south florida","7",2013-10-12,"Sat","13","10",NA,NA,NA,NA,NA,NA
2013-10-06,"east carolina","tulane","7",2013-10-12,"Sat","36","33",NA,NA,NA,NA,NA,NA
