"Rank","Team","Record","Points","PreviousPrev","year","poll","week"
1,"Alabama (59)","12-1",1475,"2",2012,"AP","2013-01-08"
2,"Oregon","11-1",1358,"5",2012,"AP","2013-01-08"
3,"Ohio State","12-0",1302,"3",2012,"AP","2013-01-08"
4,"Notre Dame","12-0",1288,"1",2012,"AP","2013-01-08"
5,"Georgia","11-2",1230,"6",2012,"AP","2013-01-08"
5,"Texas A&M","10-2",1230,"10",2012,"AP","2013-01-08"
7,"Stanford","11-2",1169,"8",2012,"AP","2013-01-08"
8,"South Carolina","10-2",1038,"11",2012,"AP","2013-01-08"
9,"Florida","11-1",933,"4",2012,"AP","2013-01-08"
10,"Florida State","11-2",922,"13",2012,"AP","2013-01-08"
11,"Clemson","10-2",889,"14",2012,"AP","2013-01-08"
12,"Kansas State","11-1",871,"7",2012,"AP","2013-01-08"
13,"Louisville","10-2",781,"22",2012,"AP","2013-01-08"
14,"LSU","10-2",756,"9",2012,"AP","2013-01-08"
15,"Oklahoma","10-2",615,"12",2012,"AP","2013-01-08"
16,"Utah State","10-2",456,"18",2012,"AP","2013-01-08"
17,"Northwestern","9-3",443,"21",2012,"AP","2013-01-08"
18,"Boise State","10-2",419,"20",2012,"AP","2013-01-08"
19,"Texas","8-4",358,"NR",2012,"AP","2013-01-08"
20,"Oregon State","9-3",303,"15",2012,"AP","2013-01-08"
21,"San Jose State","10-2",243,"24",2012,"AP","2013-01-08"
22,"Northern Illinois","12-1",227,"16",2012,"AP","2013-01-08"
23,"Vanderbilt","8-4",180,"NR",2012,"AP","2013-01-08"
24,"Michigan","8-4",147,"19",2012,"AP","2013-01-08"
25,"Nebraska","10-3",119,"23",2012,"AP","2013-01-08"
1,"Alabama (56)","12-1",1400,"2",2012,"Coaches","2013-01-08"
2,"Oregon","11-1",1322,"3",2012,"Coaches","2013-01-08"
3,"Notre Dame","12-0",1253,"1",2012,"Coaches","2013-01-08"
4,"Georgia","11-2",1213,"5",2012,"Coaches","2013-01-08"
5,"Texas A&M","10-2",1171,"9",2012,"Coaches","2013-01-08"
6,"Stanford","11-2",1167,"8",2012,"Coaches","2013-01-08"
7,"South Carolina","10-2",1064,"10",2012,"Coaches","2013-01-08"
8,"Florida State","11-2",942,"12",2012,"Coaches","2013-01-08"
9,"Clemson","10-2",916,"13",2012,"Coaches","2013-01-08"
10,"Florida","11-1",886,"4",2012,"Coaches","2013-01-08"
11,"Kansas State","11-1",841,"6",2012,"Coaches","2013-01-08"
12,"LSU","10-2",775,"7",2012,"Coaches","2013-01-08"
13,"Louisville","10-2",772,"18",2012,"Coaches","2013-01-08"
14,"Boise State","10-2",633,"15",2012,"Coaches","2013-01-08"
15,"Oklahoma","10-2",600,"11",2012,"Coaches","2013-01-08"
16,"Northwestern","9-3",580,"17",2012,"Coaches","2013-01-08"
17,"Utah State","10-2",444,"20",2012,"Coaches","2013-01-08"
18,"Texas","8-4",398,"25",2012,"Coaches","2013-01-08"
19,"Oregon State","9-3",366,"14",2012,"Coaches","2013-01-08"
20,"Vanderbilt","8-4",248,"NR",2012,"Coaches","2013-01-08"
21,"San Jose State","10-2",244,"24",2012,"Coaches","2013-01-08"
22,"Cincinnati","9-3",186,"NR",2012,"Coaches","2013-01-08"
23,"Nebraska","10-3",175,"21",2012,"Coaches","2013-01-08"
24,"Northern Illinois","12-1",156,"16",2012,"Coaches","2013-01-08"
25,"Tulsa","10-3",110,"NR",2012,"Coaches","2013-01-08"
1,"Notre Dame (60)","12-0",1500,"1",2012,"AP","2012-12-02"
2,"Alabama","12-1",1424,"2",2012,"AP","2012-12-02"
3,"Ohio State","12-0",1302,"4",2012,"AP","2012-12-02"
4,"Florida","11-1",1279,"5",2012,"AP","2012-12-02"
5,"Oregon","11-1",1250,"6",2012,"AP","2012-12-02"
6,"Georgia","11-2",1213,"3",2012,"AP","2012-12-02"
7,"Kansas State","11-1",1129,"7",2012,"AP","2012-12-02"
8,"Stanford","11-2",1094,"8",2012,"AP","2012-12-02"
9,"LSU","10-2",1051,"9",2012,"AP","2012-12-02"
10,"Texas A&M","10-2",1025,"10",2012,"AP","2012-12-02"
11,"South Carolina","10-2",907,"11",2012,"AP","2012-12-02"
12,"Oklahoma","10-2",851,"12",2012,"AP","2012-12-02"
13,"Florida State","11-2",789,"13",2012,"AP","2012-12-02"
14,"Clemson","10-2",691,"15",2012,"AP","2012-12-02"
15,"Oregon State","9-3",638,"16",2012,"AP","2012-12-02"
16,"Northern Illinois","12-1",534,"19",2012,"AP","2012-12-02"
17,"UCLA","9-4",440,"17",2012,"AP","2012-12-02"
18,"Utah State","10-2",379,"20",2012,"AP","2012-12-02"
19,"Michigan","8-4",306,"21",2012,"AP","2012-12-02"
20,"Boise State","10-2",276,"25",2012,"AP","2012-12-02"
21,"Northwestern","9-3",266,"22",2012,"AP","2012-12-02"
22,"Louisville","10-2",248,"NR",2012,"AP","2012-12-02"
23,"Nebraska","10-3",227,"14",2012,"AP","2012-12-02"
24,"San Jose State","10-2",157,"NR",2012,"AP","2012-12-02"
25,"Kent State","11-2",117,"18",2012,"AP","2012-12-02"
1,"Notre Dame (106)","12-0",2866,"1",2012,"Coaches","2012-12-02"
2,"Alabama (9)","12-1",2765,"2",2012,"Coaches","2012-12-02"
3,"Oregon","11-1",2548,"4",2012,"Coaches","2012-12-02"
4,"Florida","11-1",2480,"5",2012,"Coaches","2012-12-02"
5,"Georgia","11-2",2388,"3",2012,"Coaches","2012-12-02"
6,"Kansas State","11-1",2332,"6",2012,"Coaches","2012-12-02"
7,"Stanford","11-2",2142,"8",2012,"Coaches","2012-12-02"
8,"LSU","10-2",2128,"7",2012,"Coaches","2012-12-02"
9,"Texas A&M","10-2",1991,"9",2012,"Coaches","2012-12-02"
10,"South Carolina","10-2",1838,"10",2012,"Coaches","2012-12-02"
11,"Oklahoma","10-2",1745,"11",2012,"Coaches","2012-12-02"
12,"Florida State","11-2",1655,"12",2012,"Coaches","2012-12-02"
13,"Clemson","10-2",1485,"14",2012,"Coaches","2012-12-02"
14,"Oregon State","9-3",1280,"15",2012,"Coaches","2012-12-02"
15,"Boise State","10-2",1058,"17",2012,"Coaches","2012-12-02"
16,"Northern Illinois","12-1",998,"19",2012,"Coaches","2012-12-02"
17,"UCLA","9-4",791,"16",2012,"Coaches","2012-12-02"
18,"Nebraska","10-3",710,"13",2012,"Coaches","2012-12-02"
19,"Louisville","10-2",705,"24",2012,"Coaches","2012-12-02"
20,"Northwestern","9-3",682,"21",2012,"Coaches","2012-12-02"
21,"Utah State","10-2",660,"22",2012,"Coaches","2012-12-02"
22,"Michigan","8-4",525,"23",2012,"Coaches","2012-12-02"
23,"Kent State","11-2",330,"18",2012,"Coaches","2012-12-02"
24,"Texas","8-4",230,"20",2012,"Coaches","2012-12-02"
25,"Wisconsin","8-5",217,"NR",2012,"Coaches","2012-12-02"
1,"Notre Dame (56)","12-0",1470,"1",2012,"Coaches","2012-12-02"
2,"Alabama (3)","12-1",1417,"2",2012,"Coaches","2012-12-02"
3,"Oregon","11-1",1313,"4",2012,"Coaches","2012-12-02"
4,"Florida","11-1",1287,"5",2012,"Coaches","2012-12-02"
5,"Georgia","11-2",1216,"3",2012,"Coaches","2012-12-02"
6,"Kansas State","11-1",1190,"7",2012,"Coaches","2012-12-02"
7,"LSU","10-2",1111,"6",2012,"Coaches","2012-12-02"
8,"Stanford","11-2",1047,"9",2012,"Coaches","2012-12-02"
9,"Texas A&M","10-2",1039,"8",2012,"Coaches","2012-12-02"
10,"South Carolina","10-2",947,"10",2012,"Coaches","2012-12-02"
11,"Oklahoma","10-2",905,"11",2012,"Coaches","2012-12-02"
12,"Florida State","11-2",853,"12",2012,"Coaches","2012-12-02"
13,"Clemson","10-2",769,"14",2012,"Coaches","2012-12-02"
14,"Oregon State","9-3",663,"17",2012,"Coaches","2012-12-02"
15,"Boise State","10-2",569,"15",2012,"Coaches","2012-12-02"
16,"Northern Illinois","12-1",495,"18",2012,"Coaches","2012-12-02"
17,"Northwestern","9-3",444,"20",2012,"Coaches","2012-12-02"
18,"Louisville","10-2",409,"23",2012,"Coaches","2012-12-02"
19,"UCLA","9-4",408,"16",2012,"Coaches","2012-12-02"
20,"Utah State","10-2",334,"22",2012,"Coaches","2012-12-02"
21,"Nebraska","10-3",328,"13",2012,"Coaches","2012-12-02"
22,"Michigan","8-4",278,"24",2012,"Coaches","2012-12-02"
23,"Wisconsin","8-5",115,"NR",2012,"Coaches","2012-12-02"
24,"San Jose State","10-2",110,"NR",2012,"Coaches","2012-12-02"
25,"Texas","8-4",97,"21",2012,"Coaches","2012-12-02"
1,"Notre Dame (60)","12-0",1500,"1",2012,"AP","2012-11-25"
2,"Alabama","11-1",1400,"2",2012,"AP","2012-11-25"
3,"Georgia","11-1",1331,"3",2012,"AP","2012-11-25"
4,"Ohio State","12-0",1294,"4",2012,"AP","2012-11-25"
5,"Florida","11-1",1262,"6",2012,"AP","2012-11-25"
6,"Oregon","11-1",1242,"5",2012,"AP","2012-11-25"
7,"Kansas State","10-1",1079,"7",2012,"AP","2012-11-25"
8,"Stanford","10-2",1061,"11",2012,"AP","2012-11-25"
9,"LSU","10-2",1056,"8",2012,"AP","2012-11-25"
10,"Texas A&M","10-2",1043,"9",2012,"AP","2012-11-25"
11,"South Carolina","10-2",916,"13",2012,"AP","2012-11-25"
12,"Oklahoma","9-2",834,"14",2012,"AP","2012-11-25"
13,"Florida State","10-2",764,"10",2012,"AP","2012-11-25"
14,"Nebraska","10-2",704,"17",2012,"AP","2012-11-25"
15,"Clemson","10-2",667,"12",2012,"AP","2012-11-25"
16,"Oregon State","8-3",528,"16",2012,"AP","2012-11-25"
17,"UCLA","9-3",505,"15",2012,"AP","2012-11-25"
18,"Kent State","11-1",355,"23",2012,"AP","2012-11-25"
19,"Northern Illinois","11-1",349,"24",2012,"AP","2012-11-25"
20,"Utah State","10-2",274,"25",2012,"AP","2012-11-25"
21,"Michigan","8-4",217,"20",2012,"AP","2012-11-25"
22,"Northwestern","9-3",189,"NR",2012,"AP","2012-11-25"
23,"Texas","8-3",185,"18",2012,"AP","2012-11-25"
24,"Oklahoma State","7-4",174,"22",2012,"AP","2012-11-25"
25,"Boise State","9-2",145,"NR",2012,"AP","2012-11-25"
1,"Notre Dame (109)","12-0",2869,"1",2012,"Coaches","2012-11-25"
2,"Alabama (6)","11-1",2740,"2",2012,"Coaches","2012-11-25"
3,"Georgia","11-1",2599,"3",2012,"Coaches","2012-11-25"
4,"Oregon","11-1",2507,"4",2012,"Coaches","2012-11-25"
5,"Florida","11-1",2435,"5",2012,"Coaches","2012-11-25"
6,"Kansas State","10-1",2229,"7",2012,"Coaches","2012-11-25"
7,"LSU","10-2",2142,"8",2012,"Coaches","2012-11-25"
8,"Stanford","10-2",2059,"11",2012,"Coaches","2012-11-25"
9,"Texas A&M","10-2",2038,"10",2012,"Coaches","2012-11-25"
10,"South Carolina","10-2",1862,"12",2012,"Coaches","2012-11-25"
11,"Oklahoma","9-2",1706,"13",2012,"Coaches","2012-11-25"
12,"Florida State","10-2",1614,"6",2012,"Coaches","2012-11-25"
13,"Nebraska","10-2",1493,"14",2012,"Coaches","2012-11-25"
14,"Clemson","10-2",1446,"9",2012,"Coaches","2012-11-25"
15,"Oregon State","8-3",975,"15",2012,"Coaches","2012-11-25"
16,"UCLA","9-3",919,"16",2012,"Coaches","2012-11-25"
17,"Boise State","9-2",817,"21",2012,"Coaches","2012-11-25"
18,"Kent State","11-1",705,"25",2012,"Coaches","2012-11-25"
19,"Northern Illinois","11-1",619,"24",2012,"Coaches","2012-11-25"
20,"Texas","8-3",564,"17",2012,"Coaches","2012-11-25"
21,"Northwestern","9-3",479,"NR",2012,"Coaches","2012-11-25"
22,"Utah State","10-2",438,"NR",2012,"Coaches","2012-11-25"
23,"Michigan","8-4",434,"20",2012,"Coaches","2012-11-25"
24,"Louisville","9-2",394,"18",2012,"Coaches","2012-11-25"
25,"Oklahoma State","7-4",392,"22",2012,"Coaches","2012-11-25"
1,"Notre Dame (56)","12-0",1469,"1",2012,"Coaches","2012-11-25"
2,"Alabama (2)","11-1",1398,"2",2012,"Coaches","2012-11-25"
3,"Georgia (1)","11-1",1341,"3",2012,"Coaches","2012-11-25"
4,"Oregon","11-1",1277,"4",2012,"Coaches","2012-11-25"
5,"Florida","11-1",1265,"6",2012,"Coaches","2012-11-25"
6,"LSU","10-2",1124,"7",2012,"Coaches","2012-11-25"
7,"Kansas State","10-1",1114,"8",2012,"Coaches","2012-11-25"
8,"Texas A&M","10-2",1076,"10",2012,"Coaches","2012-11-25"
9,"Stanford","10-2",1008,"11",2012,"Coaches","2012-11-25"
10,"South Carolina","10-2",972,"12",2012,"Coaches","2012-11-25"
11,"Oklahoma","9-2",878,"13",2012,"Coaches","2012-11-25"
12,"Florida State","10-2",829,"5",2012,"Coaches","2012-11-25"
13,"Nebraska","10-2",765,"14",2012,"Coaches","2012-11-25"
14,"Clemson","10-2",720,"9",2012,"Coaches","2012-11-25"
15,"Boise State","9-2",479,"22",2012,"Coaches","2012-11-25"
16,"UCLA","9-3",445,"16",2012,"Coaches","2012-11-25"
17,"Oregon State","8-3",410,"17",2012,"Coaches","2012-11-25"
18,"Northern Illinois","11-1",377,"23",2012,"Coaches","2012-11-25"
19,"Kent State","11-1",337,"25",2012,"Coaches","2012-11-25"
20,"Northwestern","9-3",314,"NR",2012,"Coaches","2012-11-25"
21,"Texas","8-3",312,"15",2012,"Coaches","2012-11-25"
22,"Utah State","10-2",264,"NR",2012,"Coaches","2012-11-25"
23,"Louisville","9-2",184,"18",2012,"Coaches","2012-11-25"
24,"Michigan","8-4",158,"20",2012,"Coaches","2012-11-25"
25,"Rutgers","9-2",152,"19",2012,"Coaches","2012-11-25"
1,"Notre Dame (60)","11-0",1500,"3",2012,"AP","2012-11-18"
2,"Alabama","10-1",1399,"4",2012,"AP","2012-11-18"
3,"Georgia","10-1",1316,"5",2012,"AP","2012-11-18"
4,"Ohio State","11-0",1292,"6",2012,"AP","2012-11-18"
5,"Oregon","10-1",1246,"1",2012,"AP","2012-11-18"
6,"Florida","10-1",1171,"7",2012,"AP","2012-11-18"
7,"Kansas State","10-1",1064,"2",2012,"AP","2012-11-18"
8,"LSU","9-2",1048,"8",2012,"AP","2012-11-18"
9,"Texas A&M","9-2",1028,"9",2012,"AP","2012-11-18"
10,"Florida State","10-1",1026,"10",2012,"AP","2012-11-18"
11,"Stanford","9-2",991,"14",2012,"AP","2012-11-18"
12,"Clemson","10-1",874,"11",2012,"AP","2012-11-18"
13,"South Carolina","9-2",795,"12",2012,"AP","2012-11-18"
14,"Oklahoma","8-2",734,"13",2012,"AP","2012-11-18"
15,"UCLA","9-2",624,"17",2012,"AP","2012-11-18"
16,"Oregon State","8-2",599,"15",2012,"AP","2012-11-18"
17,"Nebraska","9-2",559,"16",2012,"AP","2012-11-18"
18,"Texas","8-2",498,"18",2012,"AP","2012-11-18"
19,"Louisville","9-1",362,"20",2012,"AP","2012-11-18"
20,"Michigan","8-3",282,"23",2012,"AP","2012-11-18"
21,"Rutgers","9-1",265,"22",2012,"AP","2012-11-18"
22,"Oklahoma State","7-3",240,"NR",2012,"AP","2012-11-18"
23,"Kent State","10-1",155,"25",2012,"AP","2012-11-18"
24,"Northern Illinois","10-1",144,"NR",2012,"AP","2012-11-18"
25,"Utah State","9-2",82,"NR",2012,"AP","2012-11-18"
1,"Notre Dame (107)","11-0",2863,"3",2012,"Coaches","2012-11-18"
2,"Alabama (8)","10-1",2732,"4",2012,"Coaches","2012-11-18"
3,"Georgia","10-1",2573,"5",2012,"Coaches","2012-11-18"
4,"Oregon","10-1",2483,"1",2012,"Coaches","2012-11-18"
5,"Florida","10-1",2242,"7",2012,"Coaches","2012-11-18"
6,"Florida State","10-1",2231,"6",2012,"Coaches","2012-11-18"
7,"Kansas State","10-1",2161,"2",2012,"Coaches","2012-11-18"
8,"LSU","9-2",2077,"8",2012,"Coaches","2012-11-18"
9,"Clemson","10-1",1953,"9",2012,"Coaches","2012-11-18"
10,"Texas A&M","9-2",1909,"10",2012,"Coaches","2012-11-18"
11,"Stanford","9-2",1897,"13",2012,"Coaches","2012-11-18"
12,"South Carolina","9-2",1647,"11",2012,"Coaches","2012-11-18"
13,"Oklahoma","8-2",1530,"12",2012,"Coaches","2012-11-18"
14,"Nebraska","9-2",1275,"14",2012,"Coaches","2012-11-18"
15,"Oregon State","8-2",1202,"16",2012,"Coaches","2012-11-18"
16,"UCLA","9-2",1144,"19",2012,"Coaches","2012-11-18"
17,"Texas","8-2",1088,"15",2012,"Coaches","2012-11-18"
18,"Louisville","9-1",898,"17",2012,"Coaches","2012-11-18"
19,"Rutgers","9-1",756,"21",2012,"Coaches","2012-11-18"
20,"Michigan","8-3",575,"24",2012,"Coaches","2012-11-18"
21,"Boise State","9-2",426,"23",2012,"Coaches","2012-11-18"
22,"Oklahoma State","7-3",425,"NR",2012,"Coaches","2012-11-18"
23,"Mississippi State","8-3",260,"25",2012,"Coaches","2012-11-18"
24,"Northern Illinois","10-1",198,"NR",2012,"Coaches","2012-11-18"
25,"Kent State","10-1",196,"NR",2012,"Coaches","2012-11-18"
1,"Notre Dame (56)","11-0",1469,"3",2012,"Coaches","2012-11-18"
2,"Alabama (2)","10-1",1386,"5",2012,"Coaches","2012-11-18"
3,"Georgia (1)","10-1",1348,"4",2012,"Coaches","2012-11-18"
4,"Oregon","10-1",1227,"1",2012,"Coaches","2012-11-18"
5,"Florida State","10-1",1199,"6",2012,"Coaches","2012-11-18"
6,"Florida","10-1",1166,"7",2012,"Coaches","2012-11-18"
7,"LSU","9-2",1062,"8",2012,"Coaches","2012-11-18"
8,"Kansas State","10-1",1056,"2",2012,"Coaches","2012-11-18"
9,"Clemson","10-1",1029,"9",2012,"Coaches","2012-11-18"
10,"Texas A&M","9-2",994,"10",2012,"Coaches","2012-11-18"
11,"Stanford","9-2",934,"13",2012,"Coaches","2012-11-18"
12,"South Carolina","9-2",853,"11",2012,"Coaches","2012-11-18"
13,"Oklahoma","8-2",798,"12",2012,"Coaches","2012-11-18"
14,"Nebraska","9-2",654,"14",2012,"Coaches","2012-11-18"
15,"Texas","8-2",593,"15",2012,"Coaches","2012-11-18"
16,"UCLA","9-2",590,"16",2012,"Coaches","2012-11-18"
17,"Oregon State","8-2",563,"17",2012,"Coaches","2012-11-18"
18,"Louisville","9-1",453,"18",2012,"Coaches","2012-11-18"
19,"Rutgers","9-1",408,"20",2012,"Coaches","2012-11-18"
20,"Michigan","8-3",289,"23",2012,"Coaches","2012-11-18"
21,"Oklahoma State","7-3",258,"24",2012,"Coaches","2012-11-18"
22,"Boise State","9-2",243,"22",2012,"Coaches","2012-11-18"
23,"Northern Illinois","10-1",149,"NR",2012,"Coaches","2012-11-18"
24,"Mississippi State","8-3",99,"NR",2012,"Coaches","2012-11-18"
25,"Kent State","10-1",86,"NR",2012,"Coaches","2012-11-18"
1,"Oregon (45)","10-0",1485,"2",2012,"AP","2012-11-11"
2,"Kansas State (14)","10-0",1451,"3",2012,"AP","2012-11-11"
3,"Notre Dame (1)","10-0",1382,"4",2012,"AP","2012-11-11"
4,"Alabama","9-1",1259,"1",2012,"AP","2012-11-11"
5,"Georgia","9-1",1223,"5",2012,"AP","2012-11-11"
6,"Ohio State","10-0",1212,"5",2012,"AP","2012-11-11"
7,"Florida","9-1",1089,"7",2012,"AP","2012-11-11"
8,"LSU","8-2",1046,"9",2012,"AP","2012-11-11"
9,"Texas A&M","8-2",1031,"15",2012,"AP","2012-11-11"
10,"Florida State","9-1",1024,"8",2012,"AP","2012-11-11"
11,"Clemson","9-1",907,"10",2012,"AP","2012-11-11"
12,"South Carolina","8-2",848,"12",2012,"AP","2012-11-11"
13,"Oklahoma","7-2",798,"14",2012,"AP","2012-11-11"
14,"Stanford","8-2",766,"16",2012,"AP","2012-11-11"
15,"Oregon State","7-2",556,"13",2012,"AP","2012-11-11"
16,"Nebraska","8-2",549,"18",2012,"AP","2012-11-11"
17,"UCLA","8-2",541,"17",2012,"AP","2012-11-11"
18,"Texas","8-2",496,"19",2012,"AP","2012-11-11"
19,"Louisiana Tech","9-1",374,"19",2012,"AP","2012-11-11"
20,"Louisville","9-1",322,"11",2012,"AP","2012-11-11"
21,"USC","7-3",297,"21",2012,"AP","2012-11-11"
22,"Rutgers","8-1",179,"24",2012,"AP","2012-11-11"
23,"Michigan","7-3",135,"NR",2012,"AP","2012-11-11"
23,"Texas Tech","7-3",135,"25",2012,"AP","2012-11-11"
25,"Kent State","9-1",93,"NR",2012,"AP","2012-11-11"
1,"Oregon (90)","10-0",2844,"2",2012,"Coaches","2012-11-11"
2,"Kansas State (23)","10-0",2774,"3",2012,"Coaches","2012-11-11"
3,"Notre Dame (1)","10-0",2634,"4",2012,"Coaches","2012-11-11"
4,"Alabama (1)","9-1",2494,"1",2012,"Coaches","2012-11-11"
5,"Georgia","9-1",2398,"5",2012,"Coaches","2012-11-11"
6,"Florida State","9-1",2175,"6",2012,"Coaches","2012-11-11"
7,"Florida","9-1",2113,"7",2012,"Coaches","2012-11-11"
8,"LSU","8-2",2082,"8",2012,"Coaches","2012-11-11"
9,"Clemson","9-1",1972,"9",2012,"Coaches","2012-11-11"
10,"Texas A&M","8-2",1842,"15",2012,"Coaches","2012-11-11"
11,"South Carolina","8-2",1732,"11",2012,"Coaches","2012-11-11"
12,"Oklahoma","7-2",1631,"13",2012,"Coaches","2012-11-11"
13,"Stanford","8-2",1621,"14",2012,"Coaches","2012-11-11"
14,"Nebraska","8-2",1239,"16",2012,"Coaches","2012-11-11"
15,"Texas","8-2",1095,"17",2012,"Coaches","2012-11-11"
16,"Oregon State","7-2",1081,"12",2012,"Coaches","2012-11-11"
17,"Louisville","9-1",943,"10",2012,"Coaches","2012-11-11"
18,"USC","7-3",886,"18",2012,"Coaches","2012-11-11"
19,"UCLA","8-2",870,"21",2012,"Coaches","2012-11-11"
20,"Louisiana Tech","9-1",728,"19",2012,"Coaches","2012-11-11"
21,"Rutgers","8-1",571,"22",2012,"Coaches","2012-11-11"
22,"Texas Tech","7-3",325,"25",2012,"Coaches","2012-11-11"
23,"Boise State","8-2",324,"23",2012,"Coaches","2012-11-11"
24,"Michigan","7-3",264,"NR",2012,"Coaches","2012-11-11"
25,"Mississippi State","7-3",159,"20",2012,"Coaches","2012-11-11"
1,"Oregon (44)","10-0",1460,"2",2012,"Coaches","2012-11-11"
2,"Kansas State (14)","10-0",1427,"3",2012,"Coaches","2012-11-11"
3,"Notre Dame (1)","10-0",1346,"4",2012,"Coaches","2012-11-11"
4,"Georgia","9-1",1260,"5",2012,"Coaches","2012-11-11"
5,"Alabama","9-1",1243,"1",2012,"Coaches","2012-11-11"
6,"Florida State","9-1",1143,"6",2012,"Coaches","2012-11-11"
7,"Florida","9-1",1079,"7",2012,"Coaches","2012-11-11"
8,"LSU","8-2",1040,"9",2012,"Coaches","2012-11-11"
9,"Clemson","9-1",1033,"8",2012,"Coaches","2012-11-11"
10,"Texas A&M","8-2",967,"14",2012,"Coaches","2012-11-11"
11,"South Carolina","8-2",903,"11",2012,"Coaches","2012-11-11"
12,"Oklahoma","7-2",799,"13",2012,"Coaches","2012-11-11"
13,"Stanford","8-2",793,"15",2012,"Coaches","2012-11-11"
14,"Nebraska","8-2",653,"16",2012,"Coaches","2012-11-11"
15,"Texas","8-2",615,"17",2012,"Coaches","2012-11-11"
16,"UCLA","8-2",494,"19",2012,"Coaches","2012-11-11"
17,"Oregon State","7-2",490,"12",2012,"Coaches","2012-11-11"
18,"Louisville","9-1",442,"10",2012,"Coaches","2012-11-11"
19,"Louisiana Tech","9-1",413,"18",2012,"Coaches","2012-11-11"
20,"Rutgers","8-1",354,"20",2012,"Coaches","2012-11-11"
21,"USC","7-3",343,"22",2012,"Coaches","2012-11-11"
22,"Boise State","8-2",161,"24",2012,"Coaches","2012-11-11"
23,"Michigan","7-3",144,"NR",2012,"Coaches","2012-11-11"
24,"Oklahoma State","6-3",111,"NR",2012,"Coaches","2012-11-11"
25,"Texas Tech","7-3",106,"NR",2012,"Coaches","2012-11-11"
1,"Alabama (60)","9-0",1500,"1",2012,"AP","2012-11-04"
2,"Oregon","9-0",1421,"2",2012,"AP","2012-11-04"
3,"Kansas State","9-0",1395,"3",2012,"AP","2012-11-04"
4,"Notre Dame","9-0",1318,"4",2012,"AP","2012-11-04"
5,"Georgia","8-1",1198,"7",2012,"AP","2012-11-04"
5,"Ohio State","10-0",1198,"6",2012,"AP","2012-11-04"
7,"Florida","8-1",1112,"8",2012,"AP","2012-11-04"
8,"Florida State","8-1",1057,"9",2012,"AP","2012-11-04"
9,"LSU","7-2",1029,"5",2012,"AP","2012-11-04"
10,"Clemson","8-1",931,"10",2012,"AP","2012-11-04"
11,"Louisville","9-0",862,"12",2012,"AP","2012-11-04"
12,"South Carolina","7-2",836,"11",2012,"AP","2012-11-04"
13,"Oregon State","7-1",796,"13",2012,"AP","2012-11-04"
14,"Oklahoma","6-2",765,"14",2012,"AP","2012-11-04"
15,"Texas A&M","7-2",700,"16",2012,"AP","2012-11-04"
16,"Stanford","7-2",655,"15",2012,"AP","2012-11-04"
17,"UCLA","7-2",446,"25",2012,"AP","2012-11-04"
18,"Nebraska","7-2",441,"21",2012,"AP","2012-11-04"
19,"Louisiana Tech","8-1",355,"22",2012,"AP","2012-11-04"
19,"Texas","7-2",355,"NR",2012,"AP","2012-11-04"
21,"USC","6-3",237,"18",2012,"AP","2012-11-04"
22,"Mississippi State","7-2",187,"17",2012,"AP","2012-11-04"
23,"Toledo","8-1",146,"NR",2012,"AP","2012-11-04"
24,"Rutgers","7-1",99,"NR",2012,"AP","2012-11-04"
25,"Texas Tech","6-3",97,"20",2012,"AP","2012-11-04"
1,"Alabama (108)","9-0",2867,"1",2012,"Coaches","2012-11-04"
2,"Oregon (6)","9-0",2735,"2",2012,"Coaches","2012-11-04"
3,"Kansas State (1)","9-0",2664,"3",2012,"Coaches","2012-11-04"
4,"Notre Dame","9-0",2533,"4",2012,"Coaches","2012-11-04"
5,"Georgia","8-1",2345,"6",2012,"Coaches","2012-11-04"
6,"Florida State","8-1",2223,"7",2012,"Coaches","2012-11-04"
7,"Florida","8-1",2154,"8",2012,"Coaches","2012-11-04"
8,"LSU","7-2",2011,"5",2012,"Coaches","2012-11-04"
9,"Clemson","8-1",1969,"9",2012,"Coaches","2012-11-04"
10,"Louisville","9-0",1825,"10",2012,"Coaches","2012-11-04"
11,"South Carolina","7-2",1654,"11",2012,"Coaches","2012-11-04"
12,"Oregon State","7-1",1588,"13",2012,"Coaches","2012-11-04"
13,"Oklahoma","6-2",1556,"12",2012,"Coaches","2012-11-04"
14,"Stanford","7-2",1431,"14",2012,"Coaches","2012-11-04"
15,"Texas A&M","7-2",1320,"18",2012,"Coaches","2012-11-04"
16,"Nebraska","7-2",992,"21",2012,"Coaches","2012-11-04"
17,"Texas","7-2",860,"22",2012,"Coaches","2012-11-04"
18,"USC","6-3",690,"16",2012,"Coaches","2012-11-04"
19,"Louisiana Tech","8-1",659,"24",2012,"Coaches","2012-11-04"
20,"Michigan State","5-5",603,"NR",2012,"Coaches","2012-11-04"
20,"Mississippi State","7-2",603,"15",2012,"Coaches","2012-11-04"
21,"UCLA","7-2",587,"NR",2012,"Coaches","2012-11-04"
22,"Rutgers","7-1",475,"23",2012,"Coaches","2012-11-04"
23,"Boise State","7-2",297,"17",2012,"Coaches","2012-11-04"
24,"Northwestern","7-2",259,"NR",2012,"Coaches","2012-11-04"
1,"Alabama (59)","9-0",1475,"1",2012,"Coaches","2012-11-04"
2,"Oregon","9-0",1399,"2",2012,"Coaches","2012-11-04"
3,"Kansas State","9-0",1370,"3",2012,"Coaches","2012-11-04"
